Decile,Total_DL,Total_Data
6,556406594.0,599743023.0
8,757526492.0,798245704.0
1,139043208.0,192095344.0
3,329159454.0,359872820.0
6,546747900.0,604428354.0
5,549470626.0,571220045.0
8,752194916.0,777578460.0
1,150057867.0,201077329.0
2,222222704.0,268370507.0
9,834985062.0,880211540.0
7,676853430.0,712258734.0
4,447023165.0,493053739.0
9,828236667.0,889830631.0
8,747230350.0,772851459.0
8,717686774.0,761100062.0
7,663890787.0,716789653.0
9,880054709.0,939794779.0
8,749325011.0,798937819.0
2,272443866.0,304370972.0
9,868657929.0,919496165.0
7,626850021.0,673498226.0
7,655659199.0,693899117.0
3,292626324.0,331549874.0
9,858616679.0,886662571.0
5,547190937.0,569665395.0
0,64178122.0,99497554.0
3,360329365.0,390907408.0
3,274552883.0,330165032.0
2,233562777.0,260575455.0
1,147927561.0,188956065.0
5,482546573.0,529009431.0
7,659607061.0,708157496.0
0,40552500.0,88019900.0
1,157509812.0,182550733.0
0,101449463.0,150706630.0
8,696415582.0,756948886.0
1,183002763.0,225312789.0
2,201014015.0,248295585.0
5,478669978.0,515083956.0
1,175346372.0,240153090.0
3,311649506.0,363646867.0
9,834832161.0,883106116.0
1,113504958.0,163869792.0
3,322732816.0,373187771.0
5,484403385.0,539297575.0
6,574439622.0,606728476.0
7,660898218.0,704348310.0
9,870474767.0,893552042.0
2,236343471.0,271737901.0
8,746097191.0,784625685.0
0,106396986.0,136371900.0
0,94921982.0,131029000.0
8,787445478.0,820481552.0
0,74838038.0,104265147.0
1,149840362.0,191009451.0
5,498789954.0,555856033.0
8,712001855.0,756723397.0
7,637348041.0,673157676.0
8,789082171.0,819360080.0
2,289680514.0,309945587.0
7,681660595.0,713922475.0
5,528597815.0,572937079.0
1,200973094.0,231910096.0
8,771646139.0,798559300.0
7,656403962.0,697772915.0
5,480708610.0,533119813.0
3,367533863.0,402451362.0
9,827279993.0,862254953.0
5,555294530.0,581015182.0
3,352837919.0,377396224.0
2,256599642.0,304176941.0
2,186254445.0,252626321.0
5,470537110.0,509214990.0
1,139087053.0,173901181.0
4,396562264.0,445697514.0
2,235835554.0,287852414.0
0,97194054.0,125672155.0
9,836958744.0,880323462.0
3,328496279.0,360399756.0
4,440224158.0,479133524.0
0,17480001.0,59399870.0
3,346584748.0,373327459.0
0,60773910.0,83665147.0
7,696596006.0,746608692.0
3,281594724.0,330778295.0
1,156274006.0,205248816.0
1,204036383.0,232603693.0
2,251881563.0,300492758.0
2,238000623.0,274411622.0
3,320042905.0,363591204.0
0,70208649.0,94599237.0
6,604965425.0,636572736.0
0,47066281.0,83448993.0
2,280104253.0,302110304.0
1,198658951.0,226786537.0
3,322087767.0,356259851.0
5,497160009.0,541670052.0
2,224014971.0,257471717.0
1,144291890.0,188891578.0
6,559138771.0,624570837.0
0,95802014.0,146287852.0
8,744199882.0,769501111.0
3,354769026.0,399333128.0
7,666947542.0,713869520.0
3,345922622.0,377076860.0
0,27561652.0,61838398.0
1,153684868.0,194420727.0
2,199662646.0,242915896.0
3,302943414.0,331075637.0
4,405795400.0,437201069.0
3,369158505.0,403316977.0
8,788262804.0,818386762.0
2,214543124.0,260904929.0
1,216832711.0,241777948.0
6,595470080.0,635022210.0
7,638568495.0,676544081.0
8,739720465.0,785779275.0
9,866963992.0,912305392.0
2,254648041.0,304589323.0
8,741839307.0,775059821.0
6,572326962.0,603923635.0
7,675544604.0,700770314.0
0,46083577.0,91174835.0
4,420409269.0,473097347.0
3,321520657.0,361586163.0
2,273996814.0,294123954.0
2,216735188.0,260883976.0
2,248774810.0,288253495.0
1,185359597.0,233702780.0
1,180405960.0,227316659.0
9,871693773.0,920519521.0
0,65596419.0,126762016.0
8,753817699.0,808290628.0
2,263979971.0,314592362.0
0,56518950.0,87362919.0
9,870854392.0,911164251.0
6,572139631.0,598076066.0
7,632925923.0,685196815.0
4,438336637.0,487883257.0
1,146178340.0,188235084.0
6,573991554.0,632462851.0
2,265511886.0,297175818.0
4,388912579.0,439777081.0
3,305633791.0,344183602.0
0,105009018.0,154170733.0
1,209975300.0,238397442.0
7,661274286.0,705225921.0
2,242580920.0,278597340.0
1,181993893.0,237676040.0
5,504861101.0,526291847.0
8,697816463.0,750500359.0
8,775353057.0,796035298.0
5,500441821.0,518559163.0
1,158343272.0,189130106.0
4,396230602.0,425900270.0
6,587913835.0,647152011.0
2,229454804.0,256111467.0
4,426571793.0,465151332.0
2,251324855.0,278216712.0
6,579295607.0,605850710.0
0,66668674.0,112206937.0
6,590309979.0,633034603.0
9,856404244.0,893439200.0
9,862952640.0,893741776.0
5,520703746.0,559065221.0
4,412855745.0,464315489.0
8,745087078.0,776454923.0
8,770708443.0,790169521.0
5,501314690.0,556117311.0
5,511920390.0,552538862.0
3,302473599.0,349558213.0
6,602740018.0,632849383.0
6,593354471.0,646413719.0
0,91260888.0,123190581.0
9,776252960.0,834133959.0
7,658245453.0,692333325.0
6,611833553.0,623959881.0
4,363524774.0,416512204.0
6,579146605.0,627111369.0
6,599318178.0,640705674.0
9,821664661.0,864837481.0
2,286894693.0,321849830.0
7,636604619.0,685722740.0
4,423402049.0,467653300.0
6,543844932.0,600794934.0
5,520683224.0,550619771.0
1,183803722.0,197936166.0
7,685580296.0,724076276.0
0,120403050.0,154207845.0
1,192577437.0,227698633.0
3,348344636.0,378959304.0
0,45464423.0,86769827.0
5,522708532.0,558014645.0
1,195255704.0,233393321.0
4,393836848.0,420616364.0
3,300399672.0,348753427.0
5,530938659.0,570153810.0
7,637996643.0,674085051.0
9,841643935.0,879850255.0
0,34604530.0,71828819.0
3,285559779.0,349693827.0
0,53407473.0,102144336.0
5,536186796.0,566411531.0
1,134086327.0,161461402.0
0,42703716.0,64013745.0
0,49234833.0,75331304.0
0,96838653.0,122215245.0
5,525412503.0,553224358.0
0,78837973.0,125330347.0
2,283229354.0,320197278.0
1,194940549.0,233877113.0
7,675305309.0,725880340.0
3,349882246.0,386397875.0
6,616887969.0,647098989.0
7,635289616.0,674608532.0
0,77937384.0,126375694.0
1,147651766.0,186231933.0
9,784742193.0,843499525.0
7,691522423.0,727122247.0
4,416395871.0,434476475.0
1,169801260.0,226459850.0
0,45084414.0,114611430.0
6,617953805.0,650680121.0
2,231865476.0,273208357.0
9,787799005.0,834365884.0
1,160619334.0,201244429.0
3,325823299.0,345599477.0
6,579959389.0,605643517.0
9,865454360.0,920981212.0
8,802647739.0,832494321.0
3,372561077.0,408793190.0
7,659442141.0,698269428.0
4,378541673.0,416160681.0
3,297597789.0,332361838.0
7,656488778.0,705512196.0
4,439802760.0,471830486.0
8,743185420.0,797815227.0
2,225126405.0,281052362.0
9,840906582.0,893425969.0
8,781571806.0,827827698.0
8,781417262.0,825690815.0
5,487964584.0,550306927.0
4,386651964.0,418995831.0
7,707576297.0,742187281.0
3,316482093.0,355973815.0
5,466536745.0,503013516.0
1,154940012.0,206841607.0
5,439969304.0,499903988.0
6,534528360.0,582646843.0
1,159706713.0,212499353.0
0,99031034.0,126655904.0
9,810964970.0,851339140.0
7,623653153.0,670845335.0
4,447760963.0,497354455.0
2,241745779.0,296545087.0
3,309501419.0,362032849.0
2,221958794.0,261647324.0
5,489255877.0,547218147.0
2,287154565.0,324644391.0
4,439039505.0,469377896.0
0,106623093.0,142868901.0
8,790270937.0,830750853.0
6,593422978.0,625291706.0
3,290087445.0,349431142.0
0,74860265.0,122165729.0
8,735740894.0,789973965.0
1,152448185.0,186375199.0
6,597932688.0,645171945.0
0,93538032.0,135513418.0
0,100015352.0,125653609.0
4,426012063.0,471923253.0
8,755152860.0,804273010.0
2,233912380.0,288666999.0
1,140841405.0,180399668.0
5,501335592.0,540681487.0
5,476223656.0,507137910.0
5,518955025.0,549646806.0
6,585299554.0,624912694.0
8,734295704.0,788779998.0
4,466643326.0,490233012.0
7,666993726.0,689346865.0
1,173239307.0,216000690.0
0,98674842.0,149095817.0
0,40027452.0,66544032.0
2,242775816.0,263288091.0
2,217903284.0,256029535.0
5,513238145.0,540298393.0
1,127583060.0,168509128.0
1,142957956.0,204015370.0
7,672778433.0,716012847.0
5,505963680.0,538359442.0
5,542271449.0,562645213.0
7,691716165.0,720794014.0
9,796155300.0,843332106.0
7,685419747.0,713229157.0
0,116553703.0,156983800.0
0,93599263.0,114335757.0
6,560778674.0,610861555.0
8,752623529.0,793763518.0
5,471378912.0,525361483.0
6,564776416.0,596670451.0
3,340634658.0,385996636.0
2,244671874.0,281483972.0
1,137688787.0,178194891.0
7,721585160.0,744079172.0
2,259944179.0,307055063.0
3,319358671.0,379401542.0
6,580082922.0,626653023.0
4,406453325.0,462295603.0
6,564424085.0,595738752.0
0,43776795.0,83997919.0
6,544313742.0,595180026.0
8,798915606.0,822118500.0
0,70128167.0,100490826.0
5,473269191.0,532741668.0
7,661975141.0,708584888.0
3,325902261.0,358750334.0
6,579997220.0,635179090.0
2,223577960.0,252893272.0
0,89039079.0,114583457.0
2,240585165.0,269316665.0
3,318779643.0,346812615.0
4,382681563.0,431425755.0
5,516853114.0,567195268.0
3,350292450.0,399641701.0
6,601393773.0,630551915.0
5,527691333.0,570467554.0
1,125067040.0,158259721.0
5,517671734.0,561644922.0
5,514744401.0,555471946.0
0,43906993.0,72821500.0
2,204510808.0,242827203.0
0,81041018.0,111409049.0
3,308918880.0,353156937.0
8,742408778.0,772401315.0
8,758180007.0,801295490.0
4,466434900.0,490460914.0
9,807315578.0,856869277.0
2,254795625.0,305431556.0
4,420538414.0,473369268.0
1,130866393.0,175704261.0
7,718385211.0,730941316.0
4,443022083.0,466217033.0
8,736471432.0,782690888.0
9,825507289.0,860588659.0
9,847329159.0,886644048.0
1,145146055.0,186516499.0
5,484854432.0,517995231.0
7,641779953.0,673496234.0
5,474461781.0,523876693.0
9,859543231.0,914779846.0
8,756973287.0,788205595.0
5,469844349.0,521252406.0
2,189012379.0,247490144.0
8,766514627.0,816908755.0
6,554285448.0,602437415.0
6,615224386.0,648351314.0
6,592766000.0,632746765.0
1,134979046.0,186870039.0
7,700510139.0,731966670.0
3,304939312.0,340492894.0
0,38168004.0,73311693.0
0,46394443.0,89261358.0
9,879786651.0,928827758.0
3,313262692.0,353243271.0
2,259855047.0,298500939.0
0,67596201.0,105738455.0
4,411646712.0,460554177.0
6,579376656.0,605569127.0
5,525120857.0,552186892.0
5,501585601.0,554308632.0
3,342289483.0,381869756.0
1,163568558.0,183497357.0
9,852381583.0,894901414.0
5,483000455.0,530974745.0
0,49011413.0,96158350.0
6,541132728.0,597464621.0
7,650681090.0,681674464.0
8,731759992.0,788676270.0
5,514362004.0,536396958.0
0,80987760.0,116610875.0
4,449659142.0,480340367.0
2,239878891.0,283485424.0
3,327277368.0,351518751.0
5,490783214.0,526477052.0
6,595134706.0,637387488.0
5,446714933.0,500308519.0
9,826305099.0,867838542.0
4,382509875.0,413548921.0
7,678449371.0,715611898.0
1,157142719.0,199948996.0
4,392171344.0,437794926.0
0,123004138.0,137148294.0
4,393554410.0,429343160.0
2,222105738.0,274179540.0
4,419705876.0,463967413.0
5,481477656.0,535458481.0
8,758894790.0,798359718.0
1,114669197.0,163104717.0
5,520763411.0,574385247.0
0,55476847.0,88207447.0
0,57648691.0,114049145.0
2,261120769.0,311634611.0
4,463348104.0,496800126.0
9,852961420.0,906279740.0
1,172868200.0,232021461.0
3,319633817.0,356272154.0
7,649959735.0,675594526.0
9,804890179.0,852205664.0
7,688426927.0,724139403.0
7,679978883.0,713149811.0
5,501228866.0,541958419.0
2,293264828.0,305602011.0
